id,license_author,status,image,is_main,license,exercise
89,Everkinetic,2,https://wger.de/media/exercise-images/70/Reverse-grip-bent-over-rows-2.png,True,1,70
90,Everkinetic,2,https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-2.png,True,1,109
91,Everkinetic,2,https://wger.de/media/exercise-images/110/Reverse-grip-bent-over-rows-1.png,True,1,110
92,Everkinetic,2,https://wger.de/media/exercise-images/110/Reverse-grip-bent-over-rows-2.png,True,1,110
93,Everkinetic,2,https://wger.de/media/exercise-images/193/Preacher-curl-3-1.png,True,1,193
94,Everkinetic,2,https://wger.de/media/exercise-images/193/Preacher-curl-3-2.png,True,1,193
95,Everkinetic,2,https://wger.de/media/exercise-images/11/Rear-deltoid-row-2.png,True,1,11
96,Everkinetic,2,https://wger.de/media/exercise-images/11/Rear-deltoid-row-1.png,True,1,11
97,Everkinetic,2,https://wger.de/media/exercise-images/15/Bench-press-1.png,True,1,15
98,Everkinetic,2,https://wger.de/media/exercise-images/15/Bench-press-2.png,True,1,15
99,Everkinetic,2,https://wger.de/media/exercise-images/77/One-arm-bench-press-1.png,True,1,77
100,Everkinetic,2,https://wger.de/media/exercise-images/77/One-arm-bench-press-2.png,True,1,77
101,Everkinetic,2,https://wger.de/media/exercise-images/18/Dumbbell-flys-1.png,True,1,18
102,Everkinetic,2,https://wger.de/media/exercise-images/18/Dumbbell-flys-2.png,True,1,18
104,Everkinetic,2,https://wger.de/media/exercise-images/73/Dumbbell-decline-flys-2.png,True,1,73
105,Everkinetic,2,https://wger.de/media/exercise-images/16/Incline-press-1.png,True,1,16
106,Everkinetic,2,https://wger.de/media/exercise-images/16/Incline-press-2.png,True,1,16
107,Everkinetic,2,https://wger.de/media/exercise-images/61/Close-grip-bench-press-1.png,True,1,61
108,Everkinetic,2,https://wger.de/media/exercise-images/61/Close-grip-bench-press-2.png,True,1,61
109,Everkinetic,2,https://wger.de/media/exercise-images/30/Butterfly-machine-2.png,True,1,30
110,Everkinetic,2,https://wger.de/media/exercise-images/30/Butterfly-machine-1.png,True,1,30
111,Everkinetic,2,https://wger.de/media/exercise-images/98/Butterfly-machine-2.png,True,1,98
112,Everkinetic,2,https://wger.de/media/exercise-images/98/Butterfly-machine-1.png,True,1,98
113,Everkinetic,2,https://wger.de/media/exercise-images/97/Dumbbell-bench-press-1.png,True,1,97
114,Everkinetic,2,https://wger.de/media/exercise-images/97/Dumbbell-bench-press-2.png,True,1,97
115,Everkinetic,2,https://wger.de/media/exercise-images/100/Decline-bench-press-1.png,True,1,100
116,Everkinetic,2,https://wger.de/media/exercise-images/100/Decline-bench-press-2.png,True,1,100
117,Everkinetic,2,https://wger.de/media/exercise-images/163/Incline-bench-press-1.png,True,1,163
118,Everkinetic,2,https://wger.de/media/exercise-images/163/Incline-bench-press-2.png,True,1,163
119,Everkinetic,2,https://wger.de/media/exercise-images/122/Incline-cable-flyes-1.png,True,1,122
